isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
9780007195305,0007195303,The Known World,,Edward P. Jones,African American plantation owners,http://books.google.com/books/content?id=CVS9a6lC5CwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,An epic narrative that takes a look at slavery in all of its moral complexities.,2004.0,3.83,388.0,437.0
9780007205585,0007205589,Close Range,Brokeback Mountain and Other Stories,Annie Proulx,Cowboys,http://books.google.com/books/content?id=f-zI3bgDiCAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The title story in this collection of shorts now a film from Ang Lee.,2006.0,3.99,318.0,466.0
9780060175641,0060175648,Identity,A Novel,Milan Kundera,Fiction,http://books.google.com/books/content?id=D30ExgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Milan Kundera's Identity translated from the French by Linda Asher. There are situations in which we fail for a moment to recognize the person we are with, in which the identity of the other is erased while we simultaneously doubt our own. That also happens with couples -- indeed, above all with couples, because lovers fear more than anything else ""losing sight"" of the loved one. With stunning artfulness in expanding and playing variations on the meaningful moment, Milan Kundera has made this situation -- and the vague sense of panic it inspires -- the very fabric of his new novel. Here brevity goes hand in hand with intensity, and a moment of bewilderment marks the start of a labyrinthine journey during which the reader repeatedly crosses the border between the real and the unreal, between what occurs in the world outside and what the mind creates in its solitude. Of all contemporary writers, only Kundera can transform such a hidden and disconcerting perception into the material for a novel, one of his finest, most painful, and most enlightening. Which, surprisingly, turns out to be a love story.",1998.0,3.68,176.0,260.0
9780060531041,0060531045,One Hundred Years of Solitude,,Gabriel Garcia Marquez,Fiction,http://books.google.com/books/content?id=pgPWOaOctq8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the 20th century's enduring works, One Hundred Years of Solitude is a widely beloved and acclaimed novel known throughout the world, and the ultimate achievement in a Nobel Prize–winning career. The novel tells the story of the rise and fall of the mythical town of Macondo through the history of the Buendía family. It is a rich and brilliant chronicle of life and death, and the tragicomedy of humankind. In the noble, ridiculous, beautiful, and tawdry story of the Buendía family, one sees all of humanity, just as in the history, myths, growth, and decay of Macondo, one sees all of Latin America. Love and lust, war and revolution, riches and poverty, youth and senility -- the variety of life, the endlessness of death, the search for peace and truth -- these universal themes dominate the novel. Whether he is describing an affair of passion or the voracity of capitalism and the corruption of government, Gabriel García Márquez always writes with the simplicity, ease, and purity that are the mark of a master. Alternately reverential and comical, One Hundred Years of Solitude weaves the political, personal, and spiritual to bring a new consciousness to storytelling. Translated into dozens of languages, this stunning work is no less than an accounting of the history of the human race.",2003.0,4.06,417.0,547207.0
9780060589462,0060589469,Zen and the Art of Motorcycle Maintenance,An Inquiry Into Values,Robert M. Pirsig,Psychology,http://books.google.com/books/content?id=KMRReyLPyXMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the most important and influential books written in the past half-century, Robert M. Pirsig's Zen and the Art of Motorcycle Maintenance is a powerful, moving, and penetrating examination of how we live . . . and a breathtaking meditation on how to live better. Here is the book that transformed a generation: an unforgettable narration of a summer motorcycle trip across America's Northwest, undertaken by a father and his young son. A story of love and fear -- of growth, discovery, and acceptance -- that becomes a profound personal and philosophical odyssey into life's fundamental questions, this uniquely exhilarating modern classic is both touching and transcendent, resonant with the myriad confusions of existence . . . and the small, essential triumphs that propel us forward.",2006.0,3.77,540.0,157734.0
9780060590154,0060590157,Ulysses S. Grant,The Unlikely Hero,Michael Korda,Biography & Autobiography,http://books.google.com/books/content?id=rvaqxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the first two volumes in Harper's Eminent Lives series, Korda brings his acclaimed storytelling talents to the life of Ulysses S. Grant – a man who managed to end the Civil War on a note of grace, serve two terms as president, write one of the most successful military memoirs in American literature, and is today remembered as a brilliant general but a failed president. Ulysses S. Grant was the first officer since George Washington to become a four–star general in the United States Army, and the only president between Andrew Jackson and Woodrow Wilson to serve eight consecutive years in the White House. In this succinct and vivid biography, Michael Korda considers Grant's character and reconciles the conflicting evaluations of his leadership abilities. Grant's life played out as a true Horatio Alger story. Despite his humble background as the son of a tanner in Ohio, his lack of early success in the army, and assorted failed business ventures, his unwavering determination propelled him through the ranks of military leadership and into the presidency. But while the general's tenacity and steadfastness contributed to his success on the battlefield, it both aided and crippled his effectiveness in the White House. Assessing Grant both within the context of his time and in contrast to more recent American leaders, Korda casts a benevolent eye on Grant's presidency while at the same time conceding his weaknesses. He suggests that though the general's second term ended in financial and political scandals, the fact remains that for eight years Grant exerted a calming influence on a country that had only just emerged from a horrendous civil war. Ulysses S. Grant is an even–handed and stirring portrait of a man who guided America through a pivotal juncture in its history.",2004.0,3.88,176.0,410.0
9780060598976,0060598972,Muhammad,A Prophet for Our Time,Karen Armstrong,Biography & Autobiography,http://books.google.com/books/content?id=JUz3Z0iv_pgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Muhammad was born in 570 CE, and over the following sixty years built a thriving spiritual community, laying the foundations of a religion that changed the course of world history. There is more historical data on his life than on that of the founder of any other major faith, and yet his story is little known. Karen Armstrong's immaculately researched new biography of Muhammad will enable readers to understand the true origins and spirituality of a faith that is all too often misrepresented as cruel, intolerant, and inherently violent. An acclaimed authority on religious and spiritual issues, Armstrong offers a balanced, in-depth portrait, revealing the man at the heart of Islam by dismantling centuries of misconceptions. Armstrong demonstrates that Muhammad's life—a pivot point in history—has genuine relevance to the global crises we face today.",2006.0,4.04,256.0,1662.0
9780060652920,0060652926,Mere Christianity,,C. S. Lewis,Religion,http://books.google.com/books/content?id=LpHbXdKJaMwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A forceful and accessible discussion of Christian belief that has become one of the most popular introductions to Christianity and one of the most popular of Lewis's books. Uncovers common ground upon which all Christians can stand together.,2001.0,4.32,227.0,7316.0
9780060747473,0060747471,This Rough Magic,,Mary Stewart,Fiction,http://books.google.com/books/content?id=BjFn9MD8n10C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A fledgling actress vacationing in Corfu, Lucy Waring witnesses the murder of one of England's theater luminaries and becomes embroiled in a dangerous offstage drama. Reprint.",2004.0,4.05,373.0,4966.0
9780060753108,0060753102,Beauty,A Retelling of the Story of Beauty and the Beast,Robin McKinley,Juvenile Fiction,http://books.google.com/books/content?id=EaWWnkiShpIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A strange imprisonment Beauty has never liked her nickname. She is thin and awkward; it is her two sisters who are the beautiful ones. But what she lacks in looks, she can perhaps make up for in courage. When her father comes home with the tale of an enchanted castle in the forest and the terrible promise he had to make to the Beast who lives there, Beauty knows she must go to the castle, a prisoner of her own free will. Her father protests that he will not let her go, but she answers, ""Cannot a Beast be tamed?"" Robin McKinley's beloved telling illuminates the unusual love story of a most unlikely couple: Beauty and the Beast.",2005.0,4.05,325.0,3203.0
9780060850524,0060850523,Brave New World,,Aldous Huxley,Fiction,http://books.google.com/books/content?id=V4kY9WSCgSwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom.,2006.0,3.98,259.0,12332.0
9780060913076,006091307X,The Crying of Lot 49,,Thomas Pynchon,Fiction,http://books.google.com/books/content?id=njOBt0OWKOQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The highly original satire about Oedipa Maas, a woman who finds herself enmeshed in a worldwide conspiracy, meets some extremely interesting characters, and attains a not inconsiderable amount of self knowledge.",1966.0,3.7,152.0,54061.0
9780060920081,0060920084,The Lost Continent,Travels in Small Town America,Bill Bryson,Travel,http://books.google.com/books/content?id=3139wFo58H4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,An unsparing and hilarious account of one man's rediscovery of America and his search for the perfect small town.,1990.0,3.83,299.0,43779.0
9780060921712,0060921714,The Complete Stories,,Zora Neale Hurston,Fiction,http://books.google.com/books/content?id=t2NozDINo3UC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A collection of short stories, most of which appeared in literary magazines during the author's lifetime, along with previously unpublished works, spans the career of one of the century's foremost African-American writers. Reprint.",1996.0,4.25,336.0,735.0
9780060929879,0060929871,Brave New World,,Aldous Huxley,Fiction,http://books.google.com/books/content?id=-iU5Aq3WuGgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Huxley's classic prophetic novel describes the socialized horrors of a futuristic utopia devoid of individual freedom,1998.0,3.98,288.0,1173739.0
9780060930318,0060930314,Identity,A Novel,Milan Kundera,Fiction,http://books.google.com/books/content?id=mXPU2T--gPQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"There are situations in which we fail for a moment to recognize the person we are with, in which the identity of the other is erased while we simultaneously doubt our own. This also happens with couples--indeed, above all with couples, because lovers fear more than anything else ""losing sight"" of the loved one. With stunning artfulness in expanding and playing variations on the meaningful moment, Milan Kundera has made this situation--and the vague sense of panic it inspires--the very fabric of his new novel. Here brevity goes hand in hand with intensity, and a moment of bewilderment marks the start of a labyrinthine journey during which the reader repeatedly crosses the border between the real and the unreal, between what occurs in the world outside and what the mind creates in its solitude. Of all contemporary writers, only Kundera can transform such a hidden and disconcerting perception into the material for a novel, one of his finest, most painful, and most enlightening. Which, surprisingly, turns out to be a love story.",1999.0,3.68,168.0,13065.0
9780060930530,0060930535,The Poisonwood Bible,A Novel,Barbara Kingsolver,Fiction,http://books.google.com/books/content?id=xl1mxRJd00MC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Nathan Price, a evangelical Baptist who in 1959 has taken his wife and four daughters on a mission to the Belgian Congo, finds that their traditions are no longer secure in this very different world. Reprint. 250,000 first printing.",1999.0,4.05,546.0,5449.0
9780060931674,0060931671,The Crying of Lot 49,,Thomas Pynchon,Fiction,http://books.google.com/books/content?id=vp2Sv9KO1VUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After learning that she is the executor of her ex-lover's will, Oedipa Maas starts a strange journey through Southern California in the 1960s.",1999.0,3.7,152.0,2132.0
9780060932688,0060932686,Collected Stories,,Gabriel Garcia Marquez,Fiction,http://books.google.com/books/content?id=DksnCgBzb3oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Collected here are twenty-six of Gabriel Garcia Marquez's most brilliant and enchanting short stories, presented in the chronological order of their publication in Spanish from three volumes: Eyes of a Blue Dog,Big Mama's Funeral, and The Incredible and Sad Tale of lnnocent Eréndira and Her Heartless Grandmother. Combining mysticism, history, and humor, the stories in this collection span more than two decades, illuminating the development of Marquez's prose and exhibiting the themes of family, poverty, and death that resound throughout his fiction.",1999.0,4.19,352.0,6132.0
9780060957261,0060957263,Beauty,The Invisible Embrace,John O'Donohue,"Body, Mind & Spirit",http://books.google.com/books/content?id=jXgjvZHnfF4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Beauty does not linger, it only visits. Yet beauty's visitation affects us and invites us into its rhythm, it calls us to feel, think, and act beautifully in the world: to create and live a life that awakens the Beautiful. Beauty is a gentle but urgent call to awaken. Bestselling author John O'Donohue opens our eyes, hearts, and minds to the wonder of our own relationship with beauty by exposing the infinity and mystery of its breadth. His words return us to the dignity of silence, profundity of stillness, power of thought and perception, and the eternal grace and generosity of beauty's presence. In this masterful and revelatory work, O'Donohue encourages our greater intimacy with beauty and celebrates it for what it really is: a homecoming of the human spirit. As he focuses on the classical, medieval, and Celtic traditions of art, music, literature, nature, and language, O'Donohue reveals how beauty's invisible embrace invites us toward new heights of passion and creativity even in these uncertain times of global conflict and crisis.",2005.0,4.45,261.0,622.0
9780060964047,0060964049,Tales of the City,,Armistead Maupin,Fiction,http://books.google.com/books/content?id=yPXY8iMIekkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The eccentric, mysterious, naive, jaded, up-and-coming, down-and-out, adventuresome, and withdrawn boarders in Russian Hill share their dissimilar worlds and worries",1989.0,4.04,371.0,953.0
9780061020575,0061020575,Well of Darkness,Volume One of the Sovereign Stone Trilogy,Margaret Weis;Tracy Hickman,Fiction,http://books.google.com/books/content?id=32gVlwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Second in line for succession to the throne, Prince Dagnarus will have his crown...and his queen -- though his heart's prize is a married elfin beauty. Let his hated half-brother Prince Helmos and the Dominion Lords dare to oppose him. For Dagnarus's most loyal servant has ventured into the terrible darkness, where lies the most potent talisman in the realm. And once it is in the dark prince's hand, no power will deter his Destiny.",2001.0,3.66,562.0,2010.0
9780061094224,0061094226,Choke,,Stuart Woods,Fiction,http://books.google.com/books/content?id=_H-mz4TopZ4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Chuck Chandler, a Key West tennis pro, tends to choke in his big matches, a tendency he must overcome when he meets Harry Carras and his beautiful wife Clare, and becomes a suspect in Harry's death",1996.0,3.83,352.0,2218.0
9780061120091,006112009X,One Hundred Years of Solitude,,Gabriel Garcia Marquez,Fiction,,"Tells the story of the Buendia family, set against the background of the evolution and eventual decadence of a small South American town.",2006.0,4.06,448.0,1510.0
9780061129735,0061129739,The Art of Loving,,Erich Fromm,Self-Help,http://books.google.com/books/content?id=TRMEDVrkf9EC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The fiftieth Anniversary Edition of the groundbreaking international bestseller that has shown millions of readers how to achieve rich, productive lives by developing their hidden capacities for love Most people are unable to love on the only level that truly matters: love that is compounded of maturity, self-knowledge, and courage. As with every art, love demands practice and concentration, as well as genuine insight and understanding. In his classic work, The Art of Loving, renowned psychoanalyst and social philosopher Erich Fromm explores love in all its aspects—not only romantic love, steeped in false conceptions and lofty expectations, but also brotherly love, erotic love, self-love, the love of God, and the love of parents for their children.",2006.0,4.03,192.0,35605.0
9780061150142,0061150142,The Pact,A Love Story,Jodi Picoult,Fiction,http://books.google.com/books/content?id=VDCvqF9o8RoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Until the phone calls came at three o'clock on a November morning, the Golds and their neighbors, the Hartes, had been inseparable. It was no surprise to anyone when their teenage children, Chris and Emily, began showing signs that their relationship was moving beyond that of lifelong friends. But now seventeen-year-old Emily is dead—shot with a gun her beloved and devoted Chris pilfered from his father's cabinet as part of an apparent suicide pact—leaving two devastated families stranded in the dark and dense predawn, desperate for answers about an unthinkable act and the children they never really knew. From New York Times bestselling author Jodi Picoult—one of the most powerful writers in contemporary fiction—comes a riveting, timely, heartbreaking, and terrifying novel of families in anguish and friendships ripped apart by inconceivable violence.",2006.0,4.01,512.0,237587.0
9780061159176,0061159174,The Known World,,Edward P. Jones,Fiction,http://books.google.com/books/content?id=NE-vsBpIuQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"One of the most acclaimed novels in recent memory, The Known World is a daring and ambitious work by Pulitzer Prize winner Edward P. Jones. The Known World tells the story of Henry Townsend, a black farmer and former slave who falls under the tutelage of William Robbins, the most powerful man in Manchester County, Virginia. Making certain he never circumvents the law, Townsend runs his affairs with unusual discipline. But when death takes him unexpectedly, his widow, Caldonia, can't uphold the estate's order, and chaos ensues. Jones has woven a footnote of history into an epic that takes an unflinching look at slavery in all its moral complexities.",2006.0,3.83,388.0,28962.0
9780062508867,0062508865,Muhammad,,Karen Armstrong,Biography & Autobiography,http://books.google.com/books/content?id=FbDVDnPRXKoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,This vivid and detailed biography strips away centuries of distortion and myth and presents a balanced view of the man whose religion continues to dramatically affect the course of history.,1993.0,4.15,304.0,4795.0
9780062513342,0062513346,The Valkyries,,Paulo Coelho,Fiction,http://books.google.com/books/content?id=jMT_h99Z_lUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A Magical Tale About Forgiving Our Past and Believing in Our Future The enchanting, true story of The Valkyries begins in Rio de Janeiro when author Paulo Coelho gives his mysterious master J., the only manuscript for his book The Alchemist. Haunted by a devastating curse, Coelho confesses to J., ""I′ve seen my dreams fall apart just when I seemed about to achieve them."" In response, J. gives Coelho a daunting task: He must find and speak with his guardian angel. ""The curse can be broken,"" he replies, ""if you complete the task."" Rising to the challenge, Paulo and his wife, Cristina, drop everything, pack their bags, and take off on a forty day adventure into the starkly beautiful and sometimes dangerous Mojave Desert where they encounter more than they bargained for. A masterful blend of the exotic locales, dramatic adventure, and magical storytelling, for which Coelho′s fictional works are renowned, this true-life account is at once a modern-day adventure and a metaphysical odyssey.",1996.0,3.31,212.0,696.0
9780064407311,0064407314,Monster,,Walter Dean Myers,Juvenile Fiction,http://books.google.com/books/content?id=se3BugEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"FADE IN: INTERIOR: Early morning in CELL BLOCK D, MANHATTAN DETENTION CENTER. Steve (Voice-Over) Sometimes I feel like I have walked into the middle of a movie. Maybe I can make my own movie. The film will be the story of my life. No, not my life, but of this experience. I'll call it what the lady prosecutor called me ... Monster.",2001.0,3.71,281.0,53833.0
9780072920963,0072920963,The Last Dance,Encountering Death and Dying,Lynne Ann DeSpelder;Albert Lee Strickland,Social Science,http://books.google.com/books/content?id=CAlHAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The best-selling textbook in the field, The Last Dance offers an interdisciplinary introduction to death, dying, and bereavement. Integrating the experiential and the scholarly, as well as the emotional and intellectual dimensions of death and dying, the seventh edition has been thoroughly revised to provide the most cutting-edge coverage of death studies.",2005.0,3.77,664.0,112.0
9780099173311,009917331X,"""Surely You're Joking, Mr. Feynman!""",Adventures of a Curious Character,Richard Phillips Feynman;Ralph Leighton,Physicists,http://books.google.com/books/content?id=N3eLdCTynR0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Winner of the Nobel Prize for Physics in 1965, Richard Feynman was one of the world's greatest theoretical physicists, but he was also a man who fell, often jumped, into adventure. An artist, safecracker, practical joker and storyteller, Feynman's life was a series of combustible combinations made possible by his unique mixture of high intelligence, unquenchable curiosity and eternal scepticism. Over a period of years, Feynman's conversations with his friend Ralph Leighton were first taped and then set down as they appear here, little changed from their spoken form, giving a wise, funny, passionate and totally honest self-portrait of one of the greatest men of our age.",1992.0,4.28,350.0,1700.0
9780099297703,0099297701,Hannibal,,Thomas Harris,Dangerously mentally ill,http://books.google.com/books/content?id=av8SBXdrG7YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"WORTH THE WAIT. . . Harris's writing bears the hallmarks of honed perfection. . . this piece of literature is popular fiction only in the sense that it will sell. And sell. . . LOOK NO FURTHER FOR THE CHILLER OF THE YEAR' Peter Millar, The times 'Insanely readable. . . No thriller writer is better attuned than Thomas Harris to the rhythms of suspense. No horror writer is more adept at making the stomach churn. . . COMPELLING. . . TRULY SHOCKING. . . A BRILLIANT BOOK' Mail on Sunday 'It is a gut-churning, nail-biting, skin-crawling, often lyrical triumph - addictive on every level. . . The plot is a helluva plot. . . The denouement is as exciting as the rest. . . IF THERE'S A BETTER BOOK THIS YEAR, with truth, fantasy and a touch of erudition combined in prose which really does leap off the page, I'LL EAT MY HAT' Francis Fyfield, Express. 'No panting fan. . . could have hope for more. . . HANNIBAL IS A GREAT POPULAR NOVEL AND A PLAUSIBLE CANDIDATE FOR THE PULITZER PRIZE' Guardian",2000.0,3.75,564.0,67365.0
9780099422686,0099422689,Choke,,Chuck Palahniuk,Alzheimer's disease,http://books.google.com/books/content?id=xkbpbiEC_oAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Victor Mancini has devised a complicated scam to pay for his mother's hospital care- pretend to be choking on a piece of food in a restaurant and the person who 'saves you' will feel responsible for you for the rest of their lives. Multiply that a couple of hundred times and you generate a healthy flow of cheques, week in, week out. Victor also works at a theme park with a motley group of losers, cruises sex addiction groups for action, and visits his mother, whose Alzheimer's disease now hides what may be the startling truth about his parentage.""",2002.0,3.69,293.0,1457.0
9780099429791,0099429799,Atonement,,Ian McEwan,Atonement,http://books.google.com/books/content?id=jZe53wiTVbYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Fledgling writer Briony Tallis, as a 13-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",2002.0,3.89,372.0,4537.0
9780099436744,0099436744,The Gangs of New York,An Informal History of the Underworld,Herbert Asbury,Gangs,http://books.google.com/books/content?id=5dtj8Od-IcwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Gangs of New York is a tour through a now unrecognisable city of abysmal poverty and habitual violence cobbled from legend, memory, police records, the self-aggrandizements of aging crooks, popular journalism, and solid historical research. Asbury presents the definitive work on this subject, an illumination of the gangs of old New York that ultimately gave rise to the modem Mafia and its depiction in films like The Godfather.",2002.0,3.59,384.0,143.0
9780099448570,0099448572,"South of the Border, West of the Sun",,Haruki Murakami,Domestic fiction,http://books.google.com/books/content?id=D3pTwEWLjj8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Growing up in the suburbs in post-war Japan, it seemed to Hajime that everyone but him had brothers and sisters. His sole companion was Shimamoto, also an only child. Together they spent long afternoons listening to her father's record collection. But when his family moved away, the two lost touch. Now Hajime is in his thirties. After a decade of drifting he has found happiness with his loving wife and two daughters, and success running a jazz bar. Then Shimamoto reappears. She is beautiful, intense, enveloped in mystery. Hajime is catapulted into the past, putting at risk all he has in the present.",2003.0,3.87,190.0,56172.0
9780099461265,0099461269,Open House,,Elizabeth Berg,Divorced women,http://books.google.com/books/content?id=shlDD04amKoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Samantha Morrow's husband leaves her and her eleven-year-old son she is faced with the terrifying prospect of having to recreate her whole life. She opens her house to a series of lodgers who each in the eccentric way help her to see herself. And she shakes a friend, who shows her that she has the ability to make her own future.",2003.0,3.7,314.0,61.0
