isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,missing_description,age_of_book,words_in_description
9780006550433,0006550436,The Bonesetter's Daughter,,Amy Tan,China,http://books.google.com/books/content?id=4KHT6mIMDt4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tells the story of three generations of Chinese women, beginning at the turn of the century.",2001.0,3.98,352.0,414.0,0,24.0,16
9780006551393,0006551394,The Lexus and the Olive Tree,,Thomas L. Friedman,Capitalism,http://books.google.com/books/content?id=u8zxpq6o7HYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Half of this new, post-Cold War world is intent on building a better Lexus, on streamlining their societies and economies for the global marketplace, while the other half is locked in elemental struggles over who owns which olive tree, which strip of land.",2000.0,3.59,352.0,87.0,0,25.0,43
9780006754893,0006754899,A Small Pinch of Weather,And Other Stories,Joan Aiken,"Children's stories, English",http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A magical and fantastic collection of early stories by one of the most original children's authors of the 20th century. For 8-11 year olds.,2000.0,4.27,239.0,116.0,0,25.0,24
9780006906018,000690601X,The Princess of the Chalet School,,Elinor Mary Brent-Dyer,Juvenile Fiction,http://books.google.com/books/content?id=EJcQPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2000.0,4.1,159.0,446.0,1,25.0,0
9780007103676,0007103670,Koko,,Peter Straub,Male friendship,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Koko is Peter Straub's foray into the psychological horror of the Vietnam War.,2001.0,3.56,634.0,7586.0,0,24.0,13
9780007105045,0007105045,Tree and Leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,John Ronald Reuel Tolkien,Literary Collections,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""The two works 'On fairy-stories' and 'Leaf by Niggle' were first brought together to form the book 'Tree and leaf' in 1964. In this new edition a third element is added: the poem Mythopoeia, the making of myths...""--Preface.",2001.0,4.09,176.0,2245.0,0,24.0,38
9780007116263,0007116268,"The Lord of the Rings, the Return of the King",Visual Companion,Jude Fisher,Imaginary wars and battles,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A visual guide to the third in the Lord of the Rings movie trilogy. A large-format, full-colour guide to the characters, places, landscapes, artefacts, battles, and costumes as seen in the film, it features images, informative text and specially commissioned extras.",2003.0,4.59,72.0,22.0,0,22.0,41
9780007120680,0007120680,Hallowe'en Party,,Agatha Christie,"Poirot, Hercule (Fictitious character)",http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"No one believes a little girl when she insists that she has witnessed a murder until she herself turns up drowned, and Hercule Poirot sets out to catch the killer.",2001.0,3.66,336.0,18820.0,0,24.0,30
9780007120697,0007120699,Hercule Poirot's Christmas,,Agatha Christie,Christmas stories,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"On the night before Christmas, cruel, tyrannical, filthy-rich Simeon Lee is found in his locked bedroom with his throat cut. Now Hercule Poirot must put his deductive powers to the test to solve one of his most chilling cases--and to prevent a clever killer from spilling more blood.",2001.0,3.93,335.0,23113.0,0,24.0,48
9780007122585,0007122586,The Secret of Chimneys,,Agatha Christie,"Battle, Superintendent (Fictitious character)",http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A young drifter finds more than he bargained for when he agrees to deliver a parcel to an English country house...,2001.0,3.86,400.0,11110.0,0,24.0,21
9780007124015,0007124015,The Lord of the Rings,,J. R. R. Tolkien,"Baggins, Frodo (Fictitious character)",,"Sauron has gathered the Rings of Power - the means by which he will be able to rule the world. All he needs now is the Ruling Ring, which has fallen into the hands of the hobbit Bilbo Baggins. Frodo Baggins is entrusted to foil Sauron's plans.",2001.0,4.49,1546.0,187.0,0,24.0,47
9780007126903,0007126905,The Metaphysical Club,,Louis Menand,Cambridge (Mass.),http://books.google.com/books/content?id=C3Gkwi3SfmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In an absorbing narrative about personalities and social history, Menand discusses the Metaphysical Club, an informal group that met in Cambridge, Massachusetts, in 1872, to talk about ideas. Members included Oliver Wendell Holmes, Jr., William James, and Charles Sanders Peirce. 21 photos.",2002.0,4.07,560.0,3311.0,0,23.0,42
9780007127740,000712774X,The illustrated man,,Ray Bradbury,Fiction,http://books.google.com/books/content?id=kePqlVft1bQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2002.0,4.14,186.0,56781.0,1,23.0,0
9780007136599,0007136595,The Fellowship of the Ring,,John Ronald Reuel Tolkien;Alan Lee,"Baggins, Frodo (Fictitious character)",http://books.google.com/books/content?id=K7xSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tolkien's classic fantasy about the quest to save Middle-Earth--and the basis for Peter Jackson's Academy Award(-winning film trilogy--is now available in these Young Reader's Editions. Each book of the trilogy is available individually, or together in a three-volume paperback boxed set.",2002.0,4.35,410.0,56.0,0,23.0,41
9780007137336,0007137338,Lirael,Daughter of the Clayr,Garth Nix,Fantasy fiction,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When a dangerous necromancer threatens to unleash a long-buried evil, Lirael and Prince Sameth are drawn into a battle to save the Old Kingdom and reveal their true destinies. Suggested level: secondary.",2004.0,4.3,527.0,1339.0,0,21.0,32
9780007149124,0007149123,Tales from the Perilous Realm,,John Ronald Reuel Tolkien,"Fairy tales, English",http://books.google.com/books/content?id=Wla7NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Never before published in a single volume, Tolkien's four novellas (""Farmer Giles of Ham, Leaf by Niggle, Smith of Wootton Major,"" and ""Roverandom"") and one book of poems (""The Adventures of Tom Bombadil"") are gathered together in a fully illustrated set.",2002.0,4.08,178.0,2964.0,0,23.0,41
9780007149612,0007149611,Breaking Open the Head,A Visionary Journey from Cynicism to Shamanism,Daniel Pinchbeck,Hallucinogenic drugs,http://books.google.com/books/content?id=QIMaviqqoQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A new 'The Doors of Perception' for the 21st century? A visionary journey from cynicism to shamanism by a brilliant young US writer.,2004.0,4.06,336.0,46.0,0,21.0,23
9780007150304,000715030X,"Beware, Princess Elizabeth",,Carolyn Meyer,Children's stories,http://books.google.com/books/content?id=wPBpR4AFNJ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A matter of life and death - and the Throne of England,2003.0,3.88,242.0,78.0,0,22.0,12
9780007151240,0007151241,The Family Way,,Tony Parsons,Parenthood,http://books.google.com/books/content?id=dJEIxdYmnU8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It should be the most natural thing in the world. But in Tony Parsons' latest bestseller, three couples discover that Mother Nature can be one hell of a bitch.",2005.0,3.51,400.0,2095.0,0,20.0,29
9780007153589,0007153589,How to be Alone,,Jonathan Franzen,Literary Collections,http://books.google.com/books/content?id=ozVWaXd9xvwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"'The Harper's Essay' is reprinted in this volume alongside personal essays and painstaking, often funny reportage. Although his subjects range widely, each piece wrestles with the erosion of civic life and private dignity, and the hidden persistence of loneliness in postmodern America.",2004.0,3.6,306.0,327.0,0,21.0,42
9780007158515,0007158513,I Can Read with Me Eyes Shut!,,Dr. Seuss,"Authors, American",http://books.google.com/books/content?id=oyF8U9BRTQwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Nonsense rhyming story. 4 yrs+,2003.0,4.2,48.0,16561.0,0,22.0,5
9780007158522,0007158521,"Oh, the Places You'll Go!",,Dr. Seuss,Adventure stories,http://books.google.com/books/content?id=Ev4Llq5fv4IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,From bang-ups and hang-ups to lurches and slumps. Dr. Seuss takes a hilarious look at the mishaps and misadventures that life may have in store for us.,2003.0,4.35,48.0,926.0,0,22.0,27
9780007173136,000717313X,I Wish that I Had Duck Feet,,Dr. Seuss;Barney Tobey,Children's stories,http://books.google.com/books/content?id=m9cZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A boy imagines what it would be like if he had such things as duck feet, a whale spout, and an elephant's trunk.",2004.0,4.16,64.0,8903.0,0,21.0,23
9780007175222,0007175221,Oh Say Can You Say?,,Dr. Seuss,Children's stories,http://books.google.com/books/content?id=r4l8AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Tie your tongue in terrible knots as you try to read aloud. Nonsense rhyming story.,2004.0,4.01,36.0,5726.0,0,21.0,15
9780007178636,0007178638,There's a Boy in the Girls' Bathroom,,Louis Sachar,Boys,http://books.google.com/books/content?id=jHE-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A study guide for the novel There's a Boy in the Girl's bathroom.,2004.0,3.98,208.0,174.0,0,21.0,13
9780007195305,0007195303,The Known World,,Edward P. Jones,African American plantation owners,http://books.google.com/books/content?id=CVS9a6lC5CwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,An epic narrative that takes a look at slavery in all of its moral complexities.,2004.0,3.83,388.0,437.0,0,21.0,15
9780007195718,0007195710,Discover Your Destiny with the Monk Who Sold His Ferrari,The 7 Stages of Self-Awakening,Robin Sharma,Conduct of life,http://books.google.com/books/content?id=4hVbNc8rRfEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A potent pathway to self-awakening that will help you to live your greatest life and claim the happiness, prosperity and inner peace that you deserve. From the author of the international bestseller, The Monk Who Sold His Ferrari.",2004.0,3.9,240.0,1956.0,0,21.0,38
9780007205585,0007205589,Close Range,Brokeback Mountain and Other Stories,Annie Proulx,Cowboys,http://books.google.com/books/content?id=f-zI3bgDiCAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The title story in this collection of shorts now a film from Ang Lee.,2006.0,3.99,318.0,466.0,0,19.0,14
9780020199854,0020199856,The Love of the Last Tycoon,The Authorized Text,F. Scott Fitzgerald,Fiction,http://books.google.com/books/content?id=3EDbEHca_k8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Depicts the inner-workings of the Hollywood movie industry and its impact on the fabric of American life.,1994.0,3.65,169.0,6836.0,0,31.0,17
9780020264736,0020264739,The Song of Rhiannon,The Third Branch of the Mabinogion,Evangeline Walton,Fiction,,"A retelling of The Mabinogion in novel form. Manawydon finally unites with Rhiannon - an aspect of the Goddess - but his happiness is shaken by the appearance of the Gray Man, who seeks vengeance against the living and especially against one who would claim the Goddess.",1992.0,4.02,208.0,247.0,0,33.0,47
9780020442806,0020442807,"The Chronicles of Narnia: Lion, the witch and the wardrobe",,Clive Staples Lewis,Fairy tales,,,1978.0,4.26,1425.0,1446.0,1,47.0,0
9780020518600,0020518609,The Short Stories of Ernest Hemingway,,Ernest Hemingway,Fiction,http://books.google.com/books/content?id=Len1AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Forty-nine stories reflect much of the intensity of Hemingway's own life and environment,1986.0,4.26,499.0,106.0,0,39.0,13
9780023513206,0023513209,Reason in History,A General Introduction to the Philosophy of History,Georg Wilhelm Friedrich Hegel,Philosophy,http://books.google.com/books/content?id=BCvcYQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1953.0,3.64,95.0,430.0,1,72.0,0
9780024181909,0024181900,The Elements of Style,,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,http://books.google.com/books/content?id=ADaMf2tEB7sC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The only style manual ever to appear on the best-seller lists offers practical, fundamental advice on improving writing skills, promoting a style marked by simplicity, orderliness, and sincerity",1979.0,4.2,85.0,204.0,0,46.0,28
9780024266408,002426640X,The Presocratics,,Philip Wheelwright,Philosophy,http://books.google.com/books/content?id=V45eMgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Library of Liberal Arts title.,1966.0,4.04,352.0,199.0,0,59.0,5
9780026995016,0026995018,Spandau,The Secret Diaries,Albert Speer,History,,,1976.0,4.12,463.0,6.0,1,49.0,0
9780027054903,002705490X,The Rumble Seat Pony,,Clarence William Anderson,"Animals, Treatment of",,"While riding in the rumble seat of their old yellow car, three children spot and adopt a neglected pony.",1971.0,4.17,46.0,24.0,0,54.0,19
9780027897500,0027897508,The Journey with Grandmother,,Edith Unnerstad,Grandmothers,,"A Swedish boy long ago accompanies his ... [relatives] fromn their Scandinavian farm to ... Russia in an attempt to earn money by making unusual objects from human hair."" - Book Buyer's Guide.",1960.0,3.75,197.0,3.0,0,65.0,33
9780029221303,0029221307,The Origins of the Civil Rights Movement,,Aldon D. Morris,History,http://books.google.com/books/content?id=7vyHY9DWcu8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,A blending of scholarly research and interviews with many of the figures who launched the civil rights movement in the 1960s and 1970s records the events of the movement's tumultuous first decade,1986.0,4.04,368.0,145.0,0,39.0,32
9780029227961,0029227968,Presidential Power and the Modern Presidents,The Politics of Leadership from Roosevelt to Reagan,Richard E. Neustadt,History,http://books.google.com/books/content?id=elGozulX_o8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Suggests a theory of presidential power, and tests it against the events in the administrations of the postwar presidents",1991.0,3.79,384.0,277.0,0,34.0,19
9780030420566,0030420563,"Rest, Rabbit, Rest",,Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,http://books.google.com/books/content?id=8-40_Zrp5voC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Rabbit's schedule keeps him so busy his friends have to trick him into resting.,1978.0,4.01,32.0,88.0,0,47.0,14
9780030547744,0030547741,Where the Red Fern Grows,The Story of Two Dogs and a Boy : with Connections,Wilson Rawls,Juvenile Fiction,http://books.google.com/books/content?id=IHpRwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A young boy living in the Ozarks achieves his heart's desire when he becomes the owner of two redbone hounds and teaches them to be champion hunters.,2000.0,4.37,288.0,95.0,0,25.0,27
9780060004507,0060004509,An Old-Fashioned Thanksgiving,,Louisa May Alcott;James Bernardin,Juvenile Fiction,http://books.google.com/books/content?id=SKYr4V6C1M0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,An adaptation of the original story follows the activities of seven children in nineteenth-century New England as they prepare for the Thanksgiving holiday while Mother is away caring for Grandmother.,2005.0,3.7,32.0,599.0,0,20.0,30
9780060085445,0060085444,She Went All the Way,,Meg Cabot,Fiction,http://books.google.com/books/content?id=3ANI1Q2Z-qsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"During an unfortunate helicopter ride into the wilds of Alaska, successful screenwriter Lou Calabrese is reunited with sexy Jack Townsend, but they are forced into a desperate battle for survival when they crash land in the wilderness.",2002.0,3.69,357.0,12297.0,0,23.0,37
9780060085490,0060085495,Island,,Aldous Huxley,Fiction,http://books.google.com/books/content?id=MB3VSMgJ5CkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A shipwrecked journalist discovers the beauty and serentity promoted by science on the island of Pala.,1962.0,3.85,354.0,17583.0,0,63.0,16
9780060092573,0060092572,The Terminal Man,,Michael Crichton,Fiction,http://books.google.com/books/content?id=9hERBFsuOcgC&printsec=frontcover&img=1&zoom=1&source=gbs_api,A team of surgeons perform an operation on a violent paranoid in an attempt to electronically control his behavior.,2002.0,3.36,266.0,20825.0,0,23.0,19
9780060099459,0060099453,"Merry Christmas, Amelia Bedelia",,Peggy Parish,Juvenile Fiction,http://books.google.com/books/content?id=SYCULYl-p-IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"It's Christmas Eve, and Amelia Bedelia has to get the Rogers house ready for a visit from Aunt Myra. But with Amelia Bedelia in charge, this Christmas will be one of the funniest ever!",2002.0,4.29,64.0,2452.0,0,23.0,34
9780060177249,0060177241,The thief of always,a fable,Clive Barker,Fiction,http://books.google.com/books/content?id=jKsrAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After a mysterious stranger promises to end his boredom with a trip to the magical Holiday House, ten-year-old Harvey learns that his fun has a high price",1992.0,4.19,225.0,22123.0,0,33.0,27
9780060192501,006019250X,The Illustrated Alchemist,A Fable About Following Your Dream,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,http://books.google.com/books/content?id=1YX2usKBAMIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This fable aims teaches the reader to open their mind, listen to their heart and most importantly, follow their dreams.",1998.0,3.85,198.0,236.0,0,27.0,20
9780060192778,0060192771,Mars and Venus Book of Days,365 Inspriations to Enrich Your Relationships,John Gray,Family & Relationships,http://books.google.com/books/content?id=kd6YGT74stsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Provides daily reminders of the differences in behavior and communication styles of men and women,1998.0,3.54,368.0,18.0,0,27.0,15
9780060256579,0060256575,The Missing Piece Meets the Big O,,Shel Silverstein,Juvenile Fiction,http://books.google.com/books/content?id=-m4gwgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The missing piece sat alone waiting for someone to come along and take it somewhere.... The different ones it encounters - and what it discovers in its helplessness - are portrayed with simplicity and compassion in the words and drawings of Shel Silverstein.,1981.0,4.33,104.0,10010.0,0,44.0,43
9780060391539,0060391537,Quivers,,Robin Quivers,African Americans in radio broadcasting,http://books.google.com/books/content?id=3Fj1h-gIbUsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The outspoken co-host of The Howard Stern Show reveals her disturbing background as a sexually abused child of poverty and describes her ongoing struggle for recovery and her friendship with Stern. 200,000 first printing. $150,000 ad/promo. Tour.",1995.0,3.51,341.0,60.0,0,30.0,37
9780060502959,0060502959,Moonspinners,,Mary Stewart,Fiction,http://books.google.com/books/content?id=GRhFkTkZba4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Working as a secretary at the British Embassy on Crete, Nicola Ferris is enjoying a day off when she meets up with two hiking companions who accidentally stumbled into the middle of a terrifying act of vengeance. Reprint.",2003.0,4.03,400.0,5868.0,0,22.0,38
9780060510855,0060510854,Caesar,A Novel,Colleen McCullough,Fiction,http://books.google.com/books/content?id=aoH_-e_syp0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A fictional portrait of Julius Caesar follows the legendary ancient Roman military and political leader from his remarkable conquest of Gaul, to his momentous decision at the Rubicon River, to his personal triumphs, tragedies, dreams, and disappointments. Reprint.",2003.0,4.36,928.0,5825.0,0,22.0,38
9780060510862,0060510862,The Forever War,,Joe Haldeman,Fiction,http://books.google.com/books/content?id=jc1eCZlD-ScC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Drafted into the ranks of Earth's interstellar warriors, private William Mandella finds his fight against the Taurans secondary to the side-effects of faster-than-light space travel, which affects the rate at which he ages. Winner of the Hugo and Nebula Awards. Reprint. 25,000 first printing.",2003.0,4.15,278.0,103375.0,0,22.0,44
9780060511142,0060511141,"Teach Us, Amelia Bedelia",,Peggy Parish,Juvenile Fiction,http://books.google.com/books/content?id=gnVFCJ4sW3IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Mr. Carter mistakes the lovable,literal-minded Amelia Bedelia for the new teacher, class will never be the same again!",2004.0,4.21,64.0,3069.0,0,21.0,19
9780060513092,0060513098,Falling Up,Poems and Drawings,Shel Silverstein,Juvenile Nonfiction,,A collection of humorous poems and drawings. Copyright © Libri GmbH. All rights reserved.,2002.0,4.34,178.0,114058.0,0,23.0,14
9780060524937,0060524936,A Nose for Murder,,Lee Charles Kelley,Fiction,http://books.google.com/books/content?id=c3PIvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Former cop-turned-dog trainer Jack Field is called in when the body of Allison DeMarco is found on her kitchen floor, accompanied by her high-strung Airedale, Ginger, and must enlist his special skills to find out what happened since Ginger appears to be the only witness to the crime. Original.",2003.0,3.47,267.0,93.0,0,22.0,49
9780060525118,0060525118,Size 12 Is Not Fat,A Heather Wells Mystery,Meg Cabot,Fiction,,"Former pop star Heather Wells has left behind hordes of screaming fans, to settle into a new adult life, but when strange things start happening at her college, she finds herself once again in the spotlight, this time starring as a spunky female detective. Original. 100,000 first printing.",2006.0,3.74,345.0,73592.0,0,19.0,48
9780060539252,0060539259,The Outsider,,Richard Wright,Fiction,http://books.google.com/books/content?id=aWtIFc7kdzsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Cross Damon, trapped within his own blackness, flees from Chicago's South Side to Harlem, where he joins the Communist Party.",1953.0,4.16,672.0,1736.0,0,72.0,20
9780060540944,006054094X,1421,The Year China Discovered America,Gavin Menzies,History,http://books.google.com/books/content?id=lD7S4QLUjBkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Based on 15 years of in-depth research, ""1421"" traces the voyages of an extraordinary fleet of Chinese ships, whose crews actually charted America 70 years before Columbus. Four 8-page color inserts. 37 maps & diagrams.",2004.0,3.59,650.0,11289.0,0,21.0,35
9780060541811,0060541814,The Andromeda Strain,,Michael Crichton,Fiction,http://books.google.com/books/content?id=k6LVNLM_D-8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,A team of scientists struggles to define and contain a deadly bacteria brought back from outer space by a satellite.,2003.0,3.89,327.0,192637.0,0,22.0,20
9780060541835,0060541830,Congo,,Michael Crichton,Fiction,http://books.google.com/books/content?id=Gp-fLBIrNY4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Armed with the latest gifts of advanced technology, a California scientist, a ruthless corporation agent, and a mercenary hunter face the dangers of the Congo jungle in search of the diamonds of the lost city of Zinj. Reprint.",2003.0,3.58,442.0,140223.0,0,22.0,38
9780060541880,0060541881,Johnny and the Dead,,Terry Pratchett,Juvenile Fiction,http://books.google.com/books/content?id=HgU8rJfsHmsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"After twelve-year-old Johnny Maxwell suddenly starts seeing and talking to ghosts, he and his friends become involved in a battle to save the local cemetery.",2006.0,3.78,213.0,7733.0,0,19.0,25
9780060542382,0060542381,Amelia Bedelia 40th Anniversary Collection,,Peggy Parish,Juvenile Fiction,http://books.google.com/books/content?id=OzUIAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Everyone's favorite literal-minded housekeeper, Amelia Bedelia, celebrates her 40th Anniversary in a three-book I Can Read box set.",2003.0,4.41,96.0,256.0,0,22.0,18
